#    8200      4.00000      0.00000   Teff, logg, [M/H]
#       27391   number of wavelength points
#Angstroms, flux
100.000000 0.000000
110.000000 0.000000
120.000000 0.000000
130.000000 0.000000
140.000000 0.000000
150.000000 0.000000
160.000000 0.000000
170.000000 0.000000
180.000000 0.000000
190.000000 0.000000
200.000000 0.000000
210.000000 0.000000
220.000000 0.000000
227.748596 0.000000
227.848587 0.000000
230.000000 0.000000
230.120132 0.000000
230.132126 0.000000
230.144104 0.000000
230.147110 0.000000
230.148605 0.000000
230.150101 0.000000
230.151596 0.000000
230.153091 0.000000
230.156097 0.000000
230.168076 0.000000
230.180069 0.000000
230.666672 0.000000
230.678680 0.000000
230.690704 0.000000
230.693710 0.000000
230.695206 0.000000
230.696701 0.000000
230.698212 0.000000
230.699707 0.000000
230.702713 0.000000
230.714722 0.000000
230.726746 0.000000
231.435104 0.000000
231.447159 0.000000
231.459213 0.000000
231.462234 0.000000
231.463745 0.000000
231.465240 0.000000
231.466751 0.000000
231.468262 0.000000
231.471268 0.000000
231.483322 0.000000
231.495377 0.000000
232.565170 0.000000
232.577271 0.000000
232.589386 0.000000
232.592422 0.000000
232.593933 0.000000
232.595444 0.000000
232.596954 0.000000
232.598480 0.000000
232.601501 0.000000
232.613617 0.000000
232.625732 0.000000
234.328049 0.000000
234.340256 0.000000
234.352463 0.000000
234.355515 0.000000
234.357040 0.000000
234.358566 0.000000
234.360092 0.000000
234.361618 0.000000
234.364670 0.000000
234.376862 0.000000
234.389069 0.000000
237.311386 0.000000
237.323746 0.000000
237.336105 0.000000
237.339203 0.000000
237.340744 0.000000
237.342285 0.000000
237.343842 0.000000
237.345383 0.000000
237.348465 0.000000
237.360825 0.000000
237.373199 0.000000
240.000000 0.000000
243.006866 0.000000
243.019516 0.000000
243.032181 0.000000
243.035339 0.000000
243.036926 0.000000
243.038513 0.000000
243.040085 0.000000
243.041672 0.000000
243.044830 0.000000
243.057495 0.000000
243.070145 0.000000
250.000000 0.000000
256.296295 0.000000
256.309662 0.000000
256.322998 0.000000
256.326324 0.000000
256.328003 0.000000
256.329681 0.000000
256.331329 0.000000
256.333008 0.000000
256.336365 0.000000
256.349701 0.000000
256.363037 0.000000
260.000000 0.000000
270.000000 0.000000
280.000000 0.000000
290.000000 0.000000
300.000000 0.000000
303.758575 0.000000
303.774414 0.000000
303.790222 0.000000
303.794189 0.000000
303.796143 0.000000
303.798126 0.000000
303.800110 0.000000
303.802094 0.000000
303.806030 0.000000
303.821869 0.000000
303.837677 0.000000
310.000000 0.000000
320.000000 0.000000
330.000000 0.000000
340.000000 0.000000
350.000000 0.000000
360.000000 0.000000
370.000000 0.000000
380.000000 0.000000
390.000000 0.000000
400.000000 0.000000
410.000000 0.000000
420.000000 0.000000
430.000000 0.000000
440.000000 0.000000
450.000000 0.000000
460.000000 0.000000
470.000000 0.000000
480.000000 0.000000
490.000000 0.000002
500.000000 0.000005
504.162781 0.000008
504.262787 0.000008
510.000000 0.000017
520.000000 0.000051
530.000000 0.000143
536.945496 0.000281
536.973450 0.000275
537.001404 0.000202
537.008423 0.000200
537.011902 0.000200
537.015381 0.000200
537.018921 0.000200
537.022400 0.000200
537.029358 0.000202
537.057373 0.000277
537.085327 0.000285
540.000000 0.000384
550.000000 0.000997
560.000000 0.002501
570.000000 0.006069
580.000000 0.014280
584.240540 0.019753
584.270935 0.019021
584.301392 0.015633
584.308960 0.015629
584.312805 0.015633
584.316589 0.015640
584.320374 0.015643
584.324219 0.015647
584.331787 0.015676
584.362244 0.019175
584.392639 0.020009
590.000000 0.032601
600.000000 0.072365
610.000000 0.156376
620.000000 0.329345
630.000000 0.676911
640.000000 1.359230
650.000000 2.669140
660.000000 5.131700
670.000000 9.668550
680.000000 17.866200
690.000000 32.399000
700.000000 57.720700
710.000000 101.119000
720.000000 174.233000
730.000000 295.618000
740.000000 494.005000
750.000000 813.825000
760.000000 1322.000000
770.000000 2119.490000
780.000000 3354.530000
790.000000 5244.830000
800.000000 8102.730000
810.000000 12377.500000
820.000000 18695.300000
824.070618 22051.100000
824.170593 22142.700000
830.000000 27953.200000
840.000000 41364.800000
850.000000 60608.200000
860.000000 87969.400000
870.000000 126541.000000
880.000000 180356.000000
890.000000 254936.000000
900.000000 357381.000000
910.000000 496971.000000
911.294373 518360.000000
911.394409 520033.000000
911.700012 525208.000000
911.799988 527025.000000
912.583313 540544.000000
912.654541 541790.000000
912.675659 542165.000000
912.733521 542165.000000
912.746887 543164.000000
912.768066 541915.000000
912.791138 532760.000000
912.802673 528848.000000
912.814209 536329.000000
912.821472 537937.000000
912.825806 540420.000000
912.825928 540420.000000
912.837341 554283.000000
912.839294 557740.000000
912.860413 555049.000000
912.862366 551736.000000
912.873901 538929.000000
912.885498 535589.000000
912.897034 539425.000000
912.908569 554155.000000
912.913879 566672.000000
912.918274 578670.000000
912.919800 582279.000000
912.931641 575216.000000
912.941406 551355.000000
912.952820 538308.000000
912.952942 538308.000000
912.964478 535096.000000
912.976074 538681.000000
912.987610 552880.000000
913.006287 619486.000000
913.010681 616924.000000
913.012207 611831.000000
913.024048 562641.000000
913.029358 550213.000000
913.030151 548822.000000
913.040894 537689.000000
913.045166 535835.000000
913.052490 534849.000000
913.064026 538185.000000
913.075562 551228.000000
913.098694 682859.000000
913.103088 685380.000000
913.104614 676443.000000
913.116394 584025.000000
913.122620 560056.000000
913.127686 548948.000000
913.139282 537441.000000
913.150818 534849.000000
913.154663 535219.000000
913.162354 537937.000000
913.173889 549834.000000
913.191040 632748.000000
913.195435 693636.000000
913.197021 722157.000000
913.215027 703933.000000
913.238098 547938.000000
913.247070 538929.000000
913.249695 537565.000000
913.261230 535096.000000
913.272766 537937.000000
913.283447 547559.000000
913.284302 548822.000000
913.289429 559154.000000
913.295776 582681.000000
913.307434 715700.000000
913.339539 695395.000000
913.362610 547308.000000
913.374207 537937.000000
913.381836 535959.000000
913.385742 535835.000000
913.388245 535959.000000
913.397278 538308.000000
913.399841 539674.000000
913.408875 548190.000000
913.431946 698604.000000
913.456665 3762110.000000
913.480652 680035.000000
913.492249 574290.000000
913.503784 547181.000000
913.515320 538681.000000
913.524353 536823.000000
913.526917 536823.000000
913.538452 539177.000000
913.549072 546930.000000
913.549988 548064.000000
913.573120 682545.000000
913.616821 5913320.000000
913.641052 673645.000000
913.641541 665781.000000
913.664673 547559.000000
913.665588 546552.000000
913.676208 539923.000000
913.687805 538308.000000
913.699341 540420.000000
913.710876 548443.000000
913.733582 661198.000000
913.734009 668238.000000
913.757996 5446670.000000
913.826050 653328.000000
913.826477 647338.000000
913.849182 548443.000000
913.853943 544667.000000
913.860718 541666.000000
913.872253 540171.000000
913.883850 542165.000000
913.895386 549327.000000
913.918518 655589.000000
913.918945 661654.000000
913.946472 8642340.000000
914.010986 7820440.000000
914.038940 642586.000000
914.062073 550087.000000
914.073669 544040.000000
914.085205 542664.000000
914.096802 544416.000000
914.101440 546300.000000
914.103455 547308.000000
914.108337 550974.000000
914.131470 644661.000000
914.193970 36243600.000000
914.223938 36302100.000000
914.286499 633624.000000
914.309631 552499.000000
914.316467 548569.000000
914.321228 547055.000000
914.332764 545923.000000
914.344360 547559.000000
914.355896 553263.000000
914.379028 635816.000000
914.391541 1027140.000000
914.471558 40666000.000000
